date,ageSib,ethnicityCensus,allegation,geog,datacol
2014,1,6,3,5,5.72
2014,1,6,3,6,17.09
2014,1,6,4,1,9.56
2014,1,6,4,2,5.52
2014,1,6,4,3,25.97
2014,1,6,4,4,2.87
2014,1,6,4,5,5.72
2014,1,6,4,6,3.64
2014,1,8,0,1,144.37
2014,1,8,0,2,57.85
2014,1,8,0,3,67.30
2014,1,8,0,4,53.92
2014,1,8,0,5,54.82
2014,1,8,0,6,97.74
2014,1,8,1,1,23.12
2014,1,8,1,2,13.77
2014,1,8,1,3,10.10
2014,1,8,1,4,10.87
2014,1,8,1,5,11.51
2014,1,8,1,6,21.60
2014,1,8,2,1,10.53
2014,1,8,2,2,12.86
2014,1,8,2,4,2.01
2014,1,8,2,5,1.34
2014,1,8,2,6,38.83
2014,1,8,3,1,112.68
2014,1,8,3,2,46.83
2014,1,8,3,3,55.22
2014,1,8,3,4,44.67
2014,1,8,3,5,42.21
2014,1,8,3,6,68.93
2014,1,8,4,1,125.00
2014,1,8,4,2,52.34
2014,1,8,4,3,60.40
2014,1,8,4,4,48.69
2014,1,8,4,5,47.15
2014,1,8,4,6,79.22
2014,1,9,0,1,47.93
2014,1,9,0,2,43.41
2014,1,9,0,3,34.11
2014,1,9,0,4,26.93
2014,1,9,0,5,33.91
2014,1,9,0,6,43.83
2014,1,9,1,1,16.09
2014,1,9,1,2,11.87
2014,1,9,1,3,6.88
2014,1,9,1,4,7.95
2014,1,9,1,5,10.56
2014,1,9,1,6,9.45
2014,1,9,2,1,3.86
2014,1,9,2,2,1.40
2014,1,9,2,3,3.44
2014,1,9,2,4,1.14
2014,1,9,2,5,1.54
2014,1,9,2,6,3.97
2014,1,9,3,1,36.06
2014,1,9,3,2,33.63
2014,1,9,3,3,24.65
2014,1,9,3,4,20.12
2014,1,9,3,5,25.59
2014,1,9,3,6,32.06
2014,1,9,4,1,43.17
2014,1,9,4,2,38.91
2014,1,9,4,3,29.52
2014,1,9,4,4,24.50
2014,1,9,4,5,30.07
2014,1,9,4,6,37.74
2014,1,10,0,1,218.11
2014,1,10,0,2,92.51
2014,1,10,0,3,72.62
2014,1,10,0,4,36.24
2014,1,10,0,5,105.63
2014,1,10,0,6,133.73
2014,1,10,1,1,48.52
2014,1,10,1,2,59.89
2014,1,10,1,3,15.22
2014,1,10,1,4,9.10
2014,1,10,1,5,26.20
2014,1,10,1,6,47.91
2014,1,10,2,1,12.90
2014,1,10,2,2,7.68
2014,1,10,2,3,1.61
2014,1,10,2,4,1.57
2014,1,10,2,5,4.51
2014,1,10,2,6,7.66
2014,1,10,3,1,162.11
2014,1,10,3,2,182.31
2014,1,10,3,3,53.05
2014,1,10,3,4,26.84
2014,1,10,3,5,78.03
2014,1,10,3,6,106.14
2014,1,10,4,1,179.30
2014,1,10,4,2,209.39
2014,1,10,4,3,60.83
2014,1,10,4,4,31.69
2014,1,10,4,5,92.11
2014,1,10,4,6,120.64
2014,1,11,0,1,82.39
2014,1,11,0,2,62.46
2014,1,11,0,3,57.72
2014,1,11,0,4,23.09
2014,1,11,0,5,55.76
2014,1,11,0,6,68.56
2014,1,11,1,1,17.75
2014,1,11,1,2,14.77
2014,1,11,1,3,11.72
2014,1,11,1,4,5.24
2014,1,11,1,5,13.28
2014,1,11,1,6,16.75
2014,1,11,2,1,3.80
2014,1,11,2,2,2.11
2014,1,11,2,3,2.41
2014,1,11,2,4,1.40
2014,1,11,2,5,2.86
2014,1,11,2,6,3.30
2014,1,11,3,1,62.52
2014,1,11,3,2,49.61
2014,1,11,3,3,42.95
2014,1,11,3,4,17.96
2014,1,11,3,5,42.99
2014,1,11,3,6,49.94
2014,1,11,4,1,70.32
2014,1,11,4,2,56.26
2014,1,11,4,3,50.26
2014,1,11,4,4,21.14
2014,1,11,4,5,50.05
2014,1,11,4,6,59.62
2014,1,12,0,1,208.79
2014,1,12,0,2,174.60
2014,1,12,0,3,60.73
2014,1,12,0,4,86.43
2014,1,12,0,5,86.13
2014,1,12,0,6,115.18
