"date","ageSib","ethnicityCensus","geog","datacol"
2017,3,6,2,5990
2017,3,6,3,2224
2017,3,6,4,3510
2017,3,6,5,1585
2017,3,6,6,1466
2017,3,8,1,511
2017,3,8,2,498
2017,3,8,3,895
2017,3,8,4,1667
2017,3,8,5,1491
2017,3,8,6,803
2017,3,9,1,5090
2017,3,9,2,10555
2017,3,9,3,4566
2017,3,9,4,6717
2017,3,9,5,3411
2017,3,9,6,3207
2017,3,10,1,964
2017,3,10,2,497
2017,3,10,3,2723
2017,3,10,4,8154
2017,3,10,5,3169
2017,3,10,6,1749
2017,3,11,1,13518
2017,3,11,2,7487
2017,3,11,3,16052
2017,3,11,4,19630
2017,3,11,5,15179
2017,3,11,6,17929
2017,3,12,1,188
2017,3,12,2,85
2017,3,12,3,644
2017,3,12,4,3467
2017,3,12,5,1724
2017,3,12,6,429
2016,0,0,1,184015
2016,0,0,2,144429
2016,0,0,3,251582
2016,0,0,4,424898
2016,0,0,5,241458
2016,0,0,6,239642
2016,0,1,1,1580
2016,0,1,2,1170
2016,0,1,3,1839
2016,0,1,4,1560
2016,0,1,5,1541
2016,0,1,6,1751
2016,0,2,1,1239
2016,0,2,2,911
2016,0,2,3,9551
2016,0,2,4,34581
2016,0,2,5,6526
2016,0,2,6,4105
2016,0,3,1,855
2016,0,3,2,479
2016,0,3,3,2945
2016,0,3,4,15108
2016,0,3,5,8203
2016,0,3,6,2117
2016,0,4,1,197
2016,0,4,2,0
2016,0,4,3,409
2016,0,4,4,1812
2016,0,4,5,1640
2016,0,4,6,538
2016,0,5,1,78151
2016,0,5,2,50697
2016,0,5,3,100268
2016,0,5,4,140373
2016,0,5,5,91494
2016,0,5,6,103141
2016,0,6,1,7768
2016,0,6,2,17141
2016,0,6,3,6703
2016,0,6,4,10951
2016,0,6,5,4878
2016,0,6,6,4422
2016,0,8,1,2144
2016,0,8,2,1790
2016,0,8,3,4075
2016,0,8,4,8064
2016,0,8,5,6447
2016,0,8,6,3744
2016,0,9,1,14863
2016,0,9,2,29765
2016,0,9,3,14549
2016,0,9,4,22871
2016,0,9,5,11861
2016,0,9,6,10390
2016,0,10,1,4424
2016,0,10,2,2572
2016,0,10,3,14639
2016,0,10,4,44106
2016,0,10,5,14738
2016,0,10,6,9125
2016,0,11,1,71999
2016,0,11,2,39534
2016,0,11,3,93810
2016,0,11,4,130780
2016,0,11,5,86317
2016,0,11,6,98306
2016,0,12,1,795
2016,0,12,2,370
2016,0,12,3,2794
2016,0,12,4,14692
2016,0,12,5,7813
2016,0,12,6,2003
2016,1,0,1,42128
2016,1,0,2,31251
2016,1,0,3,58726
2016,1,0,4,116274
2016,1,0,5,56846
2016,1,0,6,52609
2016,1,1,1,369
2016,1,1,2,211
2016,1,1,3,383
2016,1,1,4,319
2016,1,1,5,360
2016,1,1,6,329
2016,1,2,1,330
2016,1,2,2,211
