date,ageSib,ethnicityCensus,allegation,geog,datacol
2014,0,2,3,23,400.00
2014,0,2,3,27,11.42
2014,0,2,3,29,.00
2014,0,2,3,31,5.88
2014,0,2,3,32,24.22
2014,0,2,3,34,11.36
2014,0,2,3,37,9.57
2014,0,2,3,38,15.87
2014,0,2,3,39,35.86
2014,0,2,4,3,18.25
2014,0,2,4,4,428.57
2014,0,2,4,5,148.15
2014,0,2,4,6,15.42
2014,0,2,4,8,160.00
2014,0,2,4,11,38.46
2014,0,2,4,14,62.50
2014,0,2,4,15,21.51
2014,0,2,4,17,11.80
2014,0,2,4,18,21.96
2014,0,2,4,27,19.66
2014,0,2,4,29,.00
2014,0,2,4,31,8.23
2014,0,2,4,32,26.16
2014,0,2,4,34,18.30
2014,0,2,4,37,17.54
2014,0,2,4,38,15.87
2014,0,2,4,39,43.82
2014,0,3,0,3,87.87
2014,0,3,0,6,99.91
2014,0,3,0,11,246.15
2014,0,3,0,13,195.65
2014,0,3,0,15,127.66
2014,0,3,0,17,107.29
2014,0,3,0,18,62.34
2014,0,3,0,27,98.15
2014,0,3,0,29,120.00
2014,0,3,0,31,56.77
2014,0,3,0,32,191.59
2014,0,3,0,34,68.13
2014,0,3,0,37,176.00
2014,0,3,0,39,160.92
2014,0,3,1,3,33.47
2014,0,3,1,6,37.36
2014,0,3,1,8,333.33
2014,0,3,1,11,30.77
2014,0,3,1,15,42.55
2014,0,3,1,17,34.29
2014,0,3,1,18,20.36
2014,0,3,1,27,33.98
2014,0,3,1,29,80.00
2014,0,3,1,31,13.04
2014,0,3,1,32,59.33
2014,0,3,1,34,26.21
2014,0,3,1,37,40.00
2014,0,3,1,39,86.21
2014,0,3,2,6,6.95
2014,0,3,2,8,166.67
2014,0,3,2,11,30.77
2014,0,3,2,17,4.04
2014,0,3,2,27,2.56
2014,0,3,2,31,2.69
2014,0,3,2,32,3.71
2014,0,3,2,34,6.29
2014,0,3,2,39,17.24
2014,0,3,3,3,46.03
2014,0,3,3,6,57.34
2014,0,3,3,11,200.00
2014,0,3,3,13,152.17
2014,0,3,3,15,85.11
2014,0,3,3,17,61.69
2014,0,3,3,18,45.80
2014,0,3,3,27,54.06
2014,0,3,3,29,120.00
2014,0,3,3,31,28.77
2014,0,3,3,32,124.85
2014,0,3,3,34,38.78
2014,0,3,3,37,96.00
2014,0,3,3,39,74.71
2014,0,3,4,3,66.95
2014,0,3,4,6,81.67
2014,0,3,4,11,215.38
2014,0,3,4,13,152.17
2014,0,3,4,15,106.38
2014,0,3,4,17,82.41
2014,0,3,4,18,55.98
2014,0,3,4,27,78.60
2014,0,3,4,29,120.00
2014,0,3,4,31,40.66
2014,0,3,4,32,153.28
2014,0,3,4,34,59.75
2014,0,3,4,37,120.00
2014,0,3,4,39,126.44
2014,0,4,0,6,125.00
2014,0,4,0,17,71.19
2014,0,4,0,18,78.70
2014,0,4,0,27,87.08
2014,0,4,0,31,78.13
2014,0,4,0,32,106.60
2014,0,4,0,34,103.09
2014,0,4,0,37,384.62
2014,0,4,1,6,55.23
2014,0,4,1,17,25.94
2014,0,4,1,18,23.15
2014,0,4,1,27,35.11
2014,0,4,1,31,28.65
2014,0,4,1,32,40.61
2014,0,4,1,34,41.24
2014,0,4,1,37,230.77
2014,0,4,2,6,.00
2014,0,4,2,17,4.42
2014,0,4,2,18,9.26
2014,0,4,2,27,7.72
2014,0,4,2,31,7.81
2014,0,4,2,32,10.15
2014,0,4,3,6,81.40
2014,0,4,3,15,333.33
2014,0,4,3,17,46.91
2014,0,4,3,18,50.93
2014,0,4,3,27,52.67
2014,0,4,3,31,44.27
2014,0,4,3,32,55.84
2014,0,4,3,34,51.55
2014,0,4,3,37,307.69
2014,0,4,4,6,110.47
2014,0,4,4,15,333.33
2014,0,4,4,17,62.36
2014,0,4,4,18,69.44
2014,0,4,4,27,78.65
2014,0,4,4,31,62.50
2014,0,4,4,32,71.07
2014,0,4,4,34,87.63
2014,0,4,4,37,384.62
2014,0,5,0,1,67.06
2014,0,5,0,2,77.27
2014,0,5,0,3,43.49
2014,0,5,0,4,58.62
2014,0,5,0,5,59.35
2014,0,5,0,6,46.32
2014,0,5,0,7,70.37
2014,0,5,0,8,94.65
2014,0,5,0,9,47.88
2014,0,5,0,10,107.97
2014,0,5,0,11,61.03
2014,0,5,0,12,104.48
2014,0,5,0,13,79.42
2014,0,5,0,14,92.72
2014,0,5,0,15,48.55
2014,0,5,0,16,64.09
2014,0,5,0,17,31.92
2014,0,5,0,18,44.58
2014,0,5,0,19,47.31
2014,0,5,0,20,85.19
2014,0,5,0,21,94.65
2014,0,5,0,22,56.12
2014,0,5,0,23,75.69
2014,0,5,0,24,76.58
2014,0,5,0,25,112.06
2014,0,5,0,26,68.83
2014,0,5,0,27,50.03
2014,0,5,0,28,51.05
2014,0,5,0,29,63.13
2014,0,5,0,30,76.92
2014,0,5,0,31,45.31
2014,0,5,0,32,69.45
2014,0,5,0,33,57.26
2014,0,5,0,34,41.14
2014,0,5,0,35,97.22
2014,0,5,0,36,58.72
2014,0,5,0,37,57.22
2014,0,5,0,38,45.44
2014,0,5,0,39,84.76
2014,0,5,1,1,19.37
2014,0,5,1,2,23.23
2014,0,5,1,3,13.43
2014,0,5,1,4,14.61
2014,0,5,1,5,16.42
2014,0,5,1,6,15.49
2014,0,5,1,7,18.52
2014,0,5,1,8,27.20
2014,0,5,1,9,11.37
2014,0,5,1,10,20.57
2014,0,5,1,11,20.46
2014,0,5,1,12,22.39
2014,0,5,1,13,23.22
2014,0,5,1,14,10.56
2014,0,5,1,15,12.06
2014,0,5,1,16,14.30
2014,0,5,1,17,8.55
2014,0,5,1,18,11.49
2014,0,5,1,19,9.40
2014,0,5,1,20,17.90
2014,0,5,1,21,24.74
2014,0,5,1,22,13.47
2014,0,5,1,23,20.42
2014,0,5,1,24,17.84
2014,0,5,1,25,33.23
2014,0,5,1,26,15.73
2014,0,5,1,27,15.41
2014,0,5,1,28,9.12
2014,0,5,1,29,12.26
2014,0,5,1,30,23.18
2014,0,5,1,31,10.55
2014,0,5,1,32,17.79
2014,0,5,1,33,10.03
2014,0,5,1,34,11.88
2014,0,5,1,35,27.78
2014,0,5,1,36,18.41
2014,0,5,1,37,11.08
2014,0,5,1,38,10.73
2014,0,5,1,39,21.41
2014,0,5,2,1,5.22
2014,0,5,2,2,3.03
2014,0,5,2,3,2.01
2014,0,5,2,4,2.82
2014,0,5,2,5,3.17
2014,0,5,2,6,2.73
2014,0,5,2,7,11.11
2014,0,5,2,8,3.49
2014,0,5,2,9,2.09
2014,0,5,2,10,10.28
2014,0,5,2,11,2.99
2014,0,5,2,12,.00
2014,0,5,2,13,5.77
2014,0,5,2,14,4.93
2014,0,5,2,15,2.11
2014,0,5,2,16,4.77
2014,0,5,2,17,1.91
2014,0,5,2,18,2.58
2014,0,5,2,19,3.76
2014,0,5,2,20,2.47
2014,0,5,2,21,5.33
2014,0,5,2,22,5.61
2014,0,5,2,23,2.66
2014,0,5,2,24,4.46
2014,0,5,2,25,5.41
2014,0,5,2,26,5.90
2014,0,5,2,27,2.62
2014,0,5,2,28,2.73
2014,0,5,2,29,2.27
2014,0,5,2,30,4.21
2014,0,5,2,31,2.12
2014,0,5,2,32,3.46
2014,0,5,2,33,3.17
2014,0,5,2,34,2.01
2014,0,5,2,35,9.26
2014,0,5,2,36,4.09
2014,0,5,2,37,1.97
2014,0,5,2,38,3.94
2014,0,5,2,39,4.45
2014,0,5,3,1,48.44
2014,0,5,3,2,58.08
2014,0,5,3,3,31.73
2014,0,5,3,4,38.73
2014,0,5,3,5,41.35
2014,0,5,3,6,30.13
2014,0,5,3,7,59.26
2014,0,5,3,8,64.57
2014,0,5,3,9,34.11
2014,0,5,3,10,71.98
2014,0,5,3,11,38.25
2014,0,5,3,12,89.55
2014,0,5,3,13,54.82
2014,0,5,3,14,34.31
2014,0,5,3,15,31.36
2014,0,5,3,16,43.96
2014,0,5,3,17,20.20
2014,0,5,3,18,30.82
2014,0,5,3,19,34.77
2014,0,5,3,20,65.43
2014,0,5,3,21,63.10
2014,0,5,3,22,39.28
2014,0,5,3,23,52.83
2014,0,5,3,24,56.13
2014,0,5,3,25,87.33
2014,0,5,3,26,45.23
2014,0,5,3,27,32.00
2014,0,5,3,28,35.55
2014,0,5,3,29,39.96
2014,0,5,3,30,55.85
2014,0,5,3,31,27.04
2014,0,5,3,32,46.13
2014,0,5,3,33,44.33
2014,0,5,3,34,26.49
